Desc	Family ID	Adohon	Amytra	Arcpla	Bicany	Bommor	Calcec	Cydspl	Danple	Heldem	Hellat	Helmel	Hylves	Hypkah	Juncoe	Leracc	Mansex	Melcin	Opebru	Ostnub	Papgla	Papmac	Pappol	Papxut	Phosen	Pienap	Ploint	Pluxyl	Spofru	Tricni	Vancar
(null)	11	65	62	55	77	66	29	97	48	43	21	41	68	45	57	38	61	61	68	62	33	34	33	29	59	37	49	54	51	47	56
(null)	12	44	46	58	49	44	40	51	45	44	51	49	65	37	49	43	63	44	46	47	59	59	57	58	65	45	47	50	53	75	55
(null)	14	58	51	50	57	44	47	49	35	37	41	39	53	50	61	42	48	41	40	54	48	49	57	44	40	39	35	38	61	49	40
(null)	22	14	63	73	49	45	73	23	21	54	47	25	90	26	63	28	17	26	15	8	64	54	9	41	15	19	12	4	16	26	40
(null)	25	40	20	47	61	22	35	24	17	26	28	28	33	30	54	24	42	22	37	32	16	24	35	29	27	17	23	75	52	58	37
(null)	27	31	34	31	31	31	35	35	34	31	33	32	35	27	29	29	28	41	34	29	27	37	31	31	33	36	34	31	39	32	30
(null)	29	61	43	23	33	28	34	47	26	26	25	29	32	19	28	28	26	25	26	41	33	35	35	34	33	24	40	31	23	25	20
(null)	30	32	25	35	29	30	32	47	31	32	46	29	39	29	48	27	32	36	33	26	24	29	26	24	30	27	24	30	29	26	26
(null)	32	33	31	32	23	29	40	29	24	25	33	27	36	27	34	31	29	38	35	25	24	28	32	29	29	25	39	28	33	23	24
(null)	33	22	28	28	32	31	29	26	26	27	29	28	31	27	26	29	32	25	32	28	29	28	27	26	29	28	33	29	29	27	29
(null)	34	48	22	26	42	27	41	39	29	25	29	28	24	34	34	23	24	24	24	22	24	26	26	31	25	20	17	23	28	26	25
(null)	35	19	18	26	19	26	47	24	32	22	61	18	46	25	31	20	20	38	39	26	20	27	20	22	23	26	30	30	32	27	20
(null)	36	27	25	27	49	46	19	27	25	29	26	33	35	22	42	23	25	17	42	31	20	25	28	26	22	17	22	31	28	27	15
(null)	39	33	16	16	32	21	50	27	29	38	46	44	21	17	48	30	29	26	18	21	19	24	23	26	29	35	16	17	25	27	17
(null)	40	18	17	36	25	24	40	22	27	26	18	23	39	20	47	25	36	24	40	18	26	25	24	23	32	20	17	24	37	32	35
(null)	41	26	18	21	27	15	32	80	4	4	2	0	69	71	54	18	43	31	51	20	15	31	11	9	17	2	16	18	30	23	27
(null)	42	15	9	39	16	10	25	12	7	63	40	70	48	23	93	12	12	40	35	11	4	4	4	2	54	5	12	46	18	23	30
(null)	44	37	26	24	26	25	32	52	24	23	22	29	38	17	37	14	24	16	41	23	14	15	14	15	36	19	18	22	47	30	20
(null)	45	24	22	23	25	21	30	25	26	24	27	25	26	26	25	24	24	22	23	21	22	24	20	26	23	25	27	24	44	29	23
(null)	46	3	36	33	12	2	50	59	2	7	3	9	77	81	30	7	13	45	42	22	13	13	2	1	16	6	15	79	16	33	19
(null)	47	25	25	24	26	25	24	24	26	25	22	26	27	25	24	23	24	25	27	25	22	25	27	25	27	25	25	23	25	25	25
(null)	48	22	22	17	29	18	34	21	25	27	30	34	31	17	36	20	23	22	32	23	23	25	26	24	24	23	16	19	24	25	18
(null)	49	4	12	64	7	15	26	17	60	40	43	54	33	2	51	9	8	35	13	1	16	16	0	2	23	34	5	3	34	22	62
(null)	50	23	22	20	24	26	23	28	23	23	30	26	25	25	21	19	24	32	24	25	22	23	22	20	24	21	24	20	27	23	21
(null)	51	41	41	11	24	10	35	58	21	9	12	13	23	14	36	17	27	11	26	43	10	12	12	13	31	3	31	56	18	21	26
(null)	52	11	4	22	4	16	8	48	6	33	31	99	56	13	66	5	18	35	8	10	23	24	23	30	35	0	3	2	25	18	24
(null)	53	20	17	21	21	20	34	16	19	25	26	28	33	4	50	11	28	27	18	9	15	21	21	16	45	26	10	13	19	31	30
(null)	54	39	20	10	16	19	35	14	21	13	11	20	22	24	40	29	32	18	26	23	17	19	26	22	24	17	15	16	40	28	17
(null)	55	19	26	22	26	27	29	20	17	24	32	20	22	26	23	21	22	21	23	26	20	18	18	15	28	25	19	19	19	18	24
(null)	57	37	25	19	17	12	17	20	15	20	21	20	27	23	25	19	24	9	22	32	16	20	19	17	19	16	30	24	36	32	22
(null)	58	15	18	23	25	20	38	19	15	22	21	24	22	17	49	10	22	31	22	18	14	20	18	18	23	15	17	22	26	22	21
(null)	59	35	20	35	16	24	18	25	18	19	18	21	22	24	26	16	26	18	27	19	17	20	22	20	18	18	26	21	24	18	16
(null)	60	20	23	27	19	24	28	18	15	19	29	27	25	24	20	19	18	20	23	24	20	19	16	20	21	21	21	24	23	18	19
(null)	61	19	20	31	19	20	27	26	19	21	20	21	25	18	20	20	26	16	29	19	22	16	18	17	20	12	24	26	24	31	18
(null)	62	15	24	16	26	23	27	14	22	20	34	17	27	23	20	16	19	21	27	23	18	26	25	19	22	28	19	17	19	17	18
(null)	63	20	21	17	22	22	24	19	17	20	33	18	17	25	19	24	19	19	18	19	22	24	14	19	22	18	27	22	31	23	17
(null)	64	20	20	17	17	17	25	19	17	15	25	27	23	23	18	14	23	28	22	14	25	25	23	23	20	20	19	18	22	23	21
(null)	65	22	24	12	21	18	22	24	21	22	26	23	23	27	21	15	21	25	25	20	15	18	18	19	21	19	18	17	23	23	20
(null)	66	19	32	26	13	6	21	76	3	12	13	9	24	92	29	3	0	16	26	9	1	6	1	2	25	3	31	50	21	32	20
(null)	67	20	21	23	23	20	24	19	21	23	25	21	23	21	22	17	20	17	19	21	22	20	19	17	21	18	18	22	19	19	21
