Desc	Family ID	Adohon	Amytra	Arcpla	Bicany	Bommor	Calcec	Cydspl	Danple	Heldem	Hellat	Helmel	Hylves	Hypkah	Juncoe	Leracc	Mansex	Melcin	Opebru	Ostnub	Papgla	Papmac	Pappol	Papxut	Phosen	Pienap	Ploint	Pluxyl	Spofru	Tricni	Vancar
(null)	1	103	37	379	100	137	305	91	298	165	233	125	93	204	212	31	78	74	63	52	104	143	37	170	50	48	61	4	100	186	153
(null)	2	126	54	413	80	126	113	225	14	56	72	63	191	410	109	51	49	112	221	79	61	106	43	51	45	38	96	92	242	206	190
(null)	3	55	26	177	67	104	89	260	145	146	112	279	237	132	240	11	55	116	79	19	43	112	45	72	97	36	19	51	54	43	129
(null)	4	68	82	210	60	72	134	186	58	33	27	26	133	307	142	13	68	80	93	73	31	73	7	16	29	29	54	44	101	73	71
(null)	5	73	48	175	27	75	81	148	96	58	37	44	172	189	90	54	69	72	52	55	26	56	22	18	21	24	51	79	63	133	145
(null)	6	97	26	96	55	34	94	247	23	58	66	48	146	282	104	31	78	47	102	46	57	50	37	23	38	12	49	172	40	34	42
(null)	7	31	41	141	128	98	248	45	23	112	116	67	118	84	137	48	68	67	40	29	78	69	28	30	23	41	43	11	40	45	95
(null)	8	33	43	70	143	77	379	157	67	163	139	171	19	28	31	37	27	40	87	17	17	44	18	13	20	38	14	32	30	12	34
(null)	9	80	49	98	54	121	144	119	37	70	66	26	134	120	57	20	42	39	76	69	38	17	15	21	38	37	43	43	55	58	118
(null)	10	87	80	50	64	44	56	124	44	42	37	44	41	51	41	39	42	44	106	42	42	37	34	38	43	34	76	63	46	43	37
(null)	13	29	21	34	26	97	47	173	55	34	39	40	43	106	33	23	37	86	18	6	56	109	81	109	78	39	6	19	29	5	20
(null)	15	47	82	50	20	17	28	133	10	32	26	30	22	316	43	8	6	43	10	18	20	29	27	14	36	6	44	62	52	53	55
(null)	16	11	24	41	5	15	41	162	62	50	73	347	23	17	31	9	6	14	11	7	8	56	146	41	22	0	20	4	1	3	20
(null)	17	11	64	60	28	13	97	30	22	35	25	20	83	131	119	22	22	102	25	13	3	14	5	5	32	32	20	1	25	11	112
(null)	18	5	97	105	20	4	48	42	0	27	21	44	71	131	62	7	7	18	75	60	4	12	7	8	41	6	71	59	19	41	58
(null)	19	22	33	71	14	12	16	75	13	21	8	45	28	266	23	6	25	115	16	21	10	26	8	21	35	20	22	23	70	37	46
(null)	20	10	30	61	19	18	19	20	41	65	54	63	94	93	105	9	13	83	14	7	2	21	10	10	27	24	10	4	45	31	72
(null)	21	108	36	28	32	25	56	54	23	29	24	33	36	25	37	20	33	23	41	35	24	39	59	37	24	31	34	25	35	44	22
(null)	23	6	12	49	3	6	33	52	8	62	13	141	19	130	53	11	14	57	11	31	6	23	14	13	140	8	7	6	10	32	76
(null)	24	9	63	102	4	0	4	59	3	38	23	83	9	231	21	3	8	41	19	36	4	34	11	12	66	6	20	6	30	33	56
(null)	26	0	2	7	9	16	9	19	111	47	60	90	51	49	20	11	11	25	14	6	15	90	73	107	35	26	4	2	30	2	63
(null)	28	102	24	29	29	17	39	43	27	18	14	23	51	19	50	24	33	17	25	26	24	22	29	26	29	21	27	19	49	65	15
(null)	31	4	30	54	16	7	33	18	6	22	24	20	93	129	59	5	29	34	15	36	6	11	8	9	41	10	26	36	35	14	68
(null)	37	40	17	20	20	30	17	40	2	4	0	10	37	124	15	10	29	6	59	49	26	26	11	10	21	9	26	96	25	45	3
(null)	38	13	33	23	15	5	102	81	2	5	5	3	68	119	18	11	18	10	33	37	9	14	13	8	54	1	17	56	8	10	32
(null)	43	18	15	30	21	15	146	20	25	28	29	30	23	18	28	16	16	21	19	21	21	20	23	22	30	24	20	23	19	19	21
(null)	56	4	10	27	7	42	23	8	14	27	23	37	26	143	21	5	14	29	8	5	6	35	8	4	21	18	14	5	17	21	36
(null)	86	17	16	10	10	6	15	20	12	11	6	10	15	182	14	14	11	17	14	12	4	10	10	10	14	8	15	10	14	13	12
(null)	249	1	2	1	0	0	0	1	0	29	23	126	2	1	0	0	0	0	0	0	1	0	1	0	1	2	0	0	1	0	0
(null)	279	0	0	0	0	0	0	0	0	6	6	157	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
