species,type,filtered,count,
Pluxyl ,native,unfilt,22256,
Pluxyl ,braker,unfilt,17590,
Pluxyl ,braker,filt,17556,
Pluxyl ,native,filt,13961,
Adohon,braker,unfilt,25283,
Adohon,braker,filt,18291,
Cydspl,braker,unfilt,22352,
Cydspl,braker,filt,22275,
Cydspl,native,filt,11617,
Cydspl,native,unfilt,28386,
Papgla,native,unfilt,15692,
Papgla,native,filt,11871,
Papgla,braker,unfilt,28454,
Papgla,braker,filt,17161,
Pappol,native,unfilt,12244,
Pappol,braker,unfilt,21139,
Pappol,braker,filt,17609,
Papmac,native,unfilt,15497,
Papmac,native,filt,15123,
Papmac,braker,unfilt,29024,
Papmac,braker,filt,20034,
Papxut,native,unfilt,15322,
Papxut,native,filt,15074,
Papxut,braker,unfilt,22977,
Papxut,braker,filt,18597,
Leracc,native,unfilt,17411,
Leracc,native,filt,13895,
Leracc,braker,unfilt,24461,
Leracc,braker,filt,16664,
Phosen,native,unfilt,16492,
Phosen,native,filt,12885,
Phosen,braker,unfilt,24786,
Phosen,braker,filt,18436,
Pienap,native,unfilt,20325,
Pienap,native,filt,11659,
Pienap,braker,unfilt,18713,
Pienap,braker,filt,15883,
Calcec,native,unfilt,16456,
Calcec,native,filt,12161,
Calcec,braker,unfilt,30299,
Calcec,braker,filt,20977,
Danple,native,unfilt,15130,
Danple,native,filt,14908,
Danple,braker,unfilt,23166,
Danple,braker,filt,19106,
Bicany,native,unfilt,22642,
Bicany,braker,unfilt,22308,
Bicany,braker,filt,18898,
Helmel,native,unfilt,21656,
Helmel,braker,unfilt,23529,
Helmel,braker,filt,20461,
Heldem,native,unfilt,20118,
Heldem,braker,unfilt,22430,
Heldem,braker,filt,19619,
Hellat,native,unfilt,14613,
Hellat,native,filt,12972,
Hellat,braker,unfilt,25556,
Hellat,braker,filt,21464,
Juncoe,braker,unfilt,20741,
Juncoe,braker,filt,20664,
Melcin,native,unfilt,16668,
Melcin,braker,unfilt,24020,
Melcin,braker,filt,19517,
Vancar,native,unfilt,14437,
Vancar,native,filt,13304,
Vancar,braker,unfilt,22719,
Vancar,braker,filt,20324,
Hypkah,native,unfilt,20437,
Hypkah,native,filt,13426,
Hypkah,braker,unfilt,25738,
Hypkah,braker,filt,22880,
Ostnub,braker,unfilt,23168,
Ostnub,braker,filt,17362,
Amytra,native,unfilt,18472,
Amytra,native,filt,12721,
Amytra,braker,unfilt,24262,
Amytra,braker,filt,19213,
Ploint,native,unfilt,24497,
Ploint,native,filt,14293,
Ploint,braker,unfilt,24619,
Ploint,braker,filt,17776,
Bommor,native,unfilt,19618,
Bommor,native,filt,11569,
Bommor,braker,unfilt,21540,
Bommor,braker,filt,17496,
Hylves,braker,unfilt,26262,
Hylves,braker,filt,23784,
Mansex,braker,unfilt,24516,
Mansex,braker,filt,19278,
Opebru,native,unfilt,16912,
Opebru,native,filt,11890,
Opebru,braker,unfilt,28646,
Opebru,braker,filt,19795,
Arcpla,native,unfilt,18894,
Arcpla,native,filt,17415,
Arcpla,braker,unfilt,22490,
Arcpla,braker,filt,20268,
Spofru,native,unfilt,21640,
Spofru,native,filt,18653,
Spofru,braker,unfilt,20619,
Spofru,braker,filt,20466,
Tricni,native,unfilt,23658,
Tricni,native,filt,14643,
Tricni,braker,unfilt,22503,
Tricni,braker,filt,19684,
